Name,Small Picture,Banner Picture
Learning,academic,academic_banner
Alcohol (21+),alcohol,alcohol_banner.jpeg
Arts & Crafts,arts_and_crafts,arts_and_crafts_banner
Community Service,community_service,community_service_banner
Dance,dance,dance_banner
Free Food,free_food,free_food_banner
Guest Speaker,guest_speakers,guest_speakers_banner
Music,music.png,music_banner
Social,social,social_banner.png
Sports & Games,sports_and_games,sports_and_games_banner
Theatre,theater,theater_banner
Career Development,career_development,career_development_banner
Cultural,cultural,cultural_banner