Name,Logo Filename,Picture One,Picture Two,Picture Three,Description
ACE,ace,ace_1,ace_2,ace_3,"A.C.E. is a student led organization whose mission is to provide fun, engaging, eye catching social activities to the Bucknell Campus Community!"
ACM,acm,acm_1,acm_2,acm_3,"The Bucknell Association for Computing Machinery chapter strives to enhance the educational and professional development of students, specifically in the area of computer information technology."
Active Minds,active_minds,active_minds_1,active_minds_2,active_minds_3,"Active Minds is a student-run organization with a mission to promote mental health education and advocacy. Active Minds utilizes peer outreach to educate students about mental health issues, the symptoms of mental illness, and available resources."
Anime Society,anime_society,anime_society_1,anime_society_2,anime_society_3,"This club, the Bucknell Animé Society, is organized to promote a better understanding of Japanese culture through the art and entertainment form of animé, or Japanese animation."
Black Student Union (BSU),bsu,bsu_1,bsu_2,bsu_3,The BSU operates as the principal body of organizations whose mission is to acknowledge the fruitfulness of the black Diaspora and spread this to the greater Bucknell community.
Bucknell Environmental Club,bec,bec_1,bec_2,bec_3,The Bucknell Environmental Club seeks to spread awareness about sustainability and environmental issues while fostering an appreciation for nature and the Earth itself.
Bucknell Student Government (BSG),bsg,bsg_1,bsg_2,bsg_3,Bucknell Student Government is a body of elected undergraduate students charged with representing the general student body in University affairs.
Bucknell University Gardening Club (BUG Club),bug,bug_1,bug_2,bug_3,Bucknell University Gardening Club (BUG Club) is official partners with the Lewisburg Community Garden and helps organize the Bucknell community to help at the garden and gain awareness of our efforts there.
Burmese Cultural Organization,bco,bco_1,bco_2,bco_3,To raise the the Burmese cultural awareness on the campus by having events related to the country's culture.
Calvin & Hobbes,c_and_h,c_and_h_1,c_and_h_2,c_and_h_3,The mission of C.A.L.V.I.N. & H.O.B.B.E.S. is to provide the Bucknell community with fun activities that are substance-free in nature.
Campus Vinyl,campus_vinyl,campus_vinyl_1,campus_vinyl_2,campus_vinyl_3,Campus Vinyl is Bucknell's source for everything music. We are a digital music magazine with the sole purpose of showcasing the amazing musical talent on this campus. We love Bucknell. We love music. We love you. Let's keep everyone on the same beat.
Cap & Dagger,cap_and_dagger,cap_and_dagger_1,cap_and_dagger_2,cap_and_dagger_3,"Since 1906, our mission is to bring together those interested in theatre here at Bucknell and alumni who have since gone on to professional careers in theatre and dance through a variety of events which promote a theatre community at Bucknell and beyond."
CAP Center,cap_center,cap_center_1,cap_center_2,cap_center_3,Campus Activities & Programs (CAP) is dedicated to providing a wide range of opportunities and activities outside of the classroom to the Bucknell campus.
Career Development Center,cdc,cdc_1,cdc_2,cdc_3,"The CDC has many resources and information to take advantage of: career fairs, alumni events, resume reviews, weekly workshops, mock interviews, job/internship listings on the BRIDGE, alumni directory access and more!"
Chinese Culture and Student Association (CCSA),ccsa,ccsa_1,ccsa_2,ccsa_3,The mission of the association is to promote awareness of the Chinese culture within the Bucknell University community.
Habitat for Humanity,habitat_for_humanity,habitat_for_humanity_1,habitat_for_humanity_2,habitat_for_humanity_3,"The Bucknell Habitat for Humanity chapter's goal is to build simple, decent, and affordable homes for those in need."
I Hate Alex,i_hate_alex,i_hate_alex_1,i_hate_alex_2,i_hate_alex_3,"This organization exists because Alex created new organizations but forgot to update the CSV file for organizations so Gilbert made this to combine everything together."
International Student Services,iss,iss_1,iss_2,iss_3,"Welcome to International Student Services! ISS is committed to the internationalization of Bucknell. Through cross-cultural programs, ISS helps to establish an environment where everyone can appreciate, celebrate and learn about the cultures around them."
League of Legends,lol,lol_1,lol_2,lol_3,League of Legends Club brings together Bucknellians in order to have fun based around playing and watching League of Legends.
Multicultural Student Services,mss,mss_1,mss_2,mss_3,"Multicultural Student Services provides support services for students from racially underrepresented groups and cross-cultural learning opportunities for the campus community. Advocacy, leadership development, global literacy and service learning are its primary foci. MSS aims to foster a campus climate that recognizes, appreciates and shares a mutual understanding and respect for all cultures."
Rotaract Club,rotaract_club,rotaract_club_1,rotaract_club_2,rotaract_club_3,"The Rotaract Club is Bucknell's chapter of Rotary International. It seeks to organize service activities, provide professional development and create networking opportunities for its members, and give members access to Rotary scholarhsips and fellowships."
Student Art Association,saa,saa_1,saa_2,saa_3,The Student Art Association provides opportunities for the talented men and women of Bucknell University’s student body to exhibit their artistic talents. The organization desires to foster a greater sense of diversity among the Bucknell community.
Ubuntu Club,ubuntu_club,ubuntu_club_1,ubuntu_club_2,ubuntu_club_3,"The Ubuntu Club's goal is to raise money and awareness to support childhood education in South Africa. The Ubuntu Club promotes the power of human connection. Ubuntu, a South African philosophy, embraces the idea that we are people through other people."
Uptown,uptown,uptown_1,uptown_2,uptown_3,"Uptown is an on-campus entertainment venue run by students, to provide a variety of events in a casual social scene."
We Brake For Nobody,we_brake_for_nobody,we_brake_for_nobody_1,we_brake_for_nobody_2,we_brake_for_nobody_3,Bucknell's finest and only improv comedy troupe!
Speaker Series,speaker_series,speaker_series_1,speaker_series_2,speaker_series_3,We get great speakers here at Bucknell because we have a lot of money.